Name	Rarity	Class	Cost	Attack	Health	Speed	Range	Effect	Flavor Text
Koi Dragon	0		5	5	7	2	2	-	
Arcane Nulifier	1		5	3	3	1	1	When your opponent plays a spell, its effect is canceled.	
Avenger	1		6	5	5	2	1	Battlecry: Gain +1 Attack and Health for each one of your destroyed crystals.	
Bat	1		1	1	2	1	1	-	
Bookeeper	1		1	1	1	1	1	When you play a creature with no text, give it +1 Attack and Health.	
Coward Archer	1		2	2	1	1	3	-	
Crystalizer	1		0	0	0	0	0	Battlecry: Destroy an enemy crystal or restore an ally crystal.	
Dragon	1		0	0	0	3	2	Can move over other creatures (?)	
Fat Bat	1		4	3	5	1	1	After it attacks a creature, restore Health to this creature equal to the damage dealt.	
Grave Robber	1		0	0	0	0	0	Battlecry: Put a creature from the opponent's graveyard in your hand.	
Grim Reaper	1		0	0	0	0	0	When an enemy creature dies, put it on your deck.	
Grumpy Wizard	1		2	3	3	1	2	Battlecry: Reduce its mana cost by 2.	
Living Tree	1		7	4	10	1	1	At the end of your turn, if this creature didn't move, restore it to full health	
Mana Bank	1		3	2	2	1	1	Deathwish: Gain 1 mana.	
Mana Devourer	1		4	3	4	1	1	Whenever it kills a creature, add that creature's mana cost to its mana cost.	
Miner	1		2	1	3	1	1	Look at the bottom 3 cards of your deck. Choose one and draw it.	
Necrophagist	1		5	0	1	1	1	Discard your Graveyard. Gain +1 Attack and Health for each card discarded.	
Ninja	1		3	3	2	2	2	Stealth.	
Pirate	1		0	0	0	0	0	-	
Royal Knight	1		0	0	0	0	1	All allies have +1 Attack and Health.	
Samurai	1		6	6	6	3	1	When it kills a creature, discard the top card of your deck.	
Sandworm	1		3	2	3	1	1	After it counter-attacks, gain Stealth.	
Slime Fanatic	1		3	1	3	1	1	Has +1 Attack for each Slime on the board.	
Slime-o-Tron	1		4	2	3	1	2	Whenever it kills a creature, summon a Slime	
Summoner	1		2	0	3	1	5	-	
Undertaker	1		0	0	0	0	0	At the end of your turn, put a creature from your graveyard into your deck. 	
Vampire	1		0	0	0	0	0	Whenever it kills a creature, restore it to full health.	
Vanilla 2	1		2	2	3	1	1	-	
Vanilla 3	1		3	3	4	1	1	-	
Vanilla 4	1		4	4	5	1	1	-	
Vanilla 5	1		5	5	6	1	1	-	
Vanilla 6	1		6	6	7	1	1	-	
Vanilla 7	1		7	7	8	1	1	-	
Vengeful Warrior	1		0	0	0	0	0	Battlecry: Choose a creature. Deathwish: Kill the chosen creature.	
Viking Lord	1		0	0	0	0	1	Whenever it takes damage, gain +1 Attack.	
Snail	2		3	2	3	1	1	Slow any creature damaged by this creature.	
Assassin	3		0	0	0	2	1	Stealth. Poison.	
Blob	3		3	2	2	1	1	At the end of your turn, increase its Attack and Health by 1	
Koi	3		1	0	1	0	0	Battlecry: At the start of your next turn, transform into Koi Dragon.	
Slime 	3		2	1	1	1	1	At the end of your turn summon a copy of this creature.	
Spike Turtle	3		4	2	5	1	1	When it counter-attacks, deal double damage.	
Army Drummer	4		2	1	1	1	1	All your minions have +1 Speed.	
Book Theif	4		3	2	4	1	1	Battlecry: Steal a creature's text.	
Crystal Giant	4		7	10	10	1	1	Deathwish: Restore an enemy crystal	
Cyber Ninja	4		6	6	4	3	1	Stealth. Whenever it kills a creature, gain Stealth.	
Huge Frog	4		0	0	0	0	0	Swallow an enemy creature. Deathwish: Return it to your opponent.	
Ice Titan	4		8	4	8	1	1	When it attacks, deal attack damage to all enemy creatures in range and freeze them.	
Magma Titan	4		8	5	8	1	1	When it attacks, deal attack damage to all enemy creatures in range.	
Thief	4		0	0	0	0	0	Battlecry: Steal a random card from your opponent's hand	
Captain Blackbeard	5		8	4	7	1	1	Whenever you draw a card, draw it from your opponent's deck.	
Medusa	5		6	4	5	2	2	At the end of your turn, freeze a random enemy in range.	
Motivated Warrior	5		1	1	3	2	1	Initiative. Always the top card on your deck.	
Overcaster	5		0	0	0	0	0	Your Overcharge effects cost 0 mana.	
Saboteur	5		0	0	0	0	0	Battlecry: Raise the cost of all cards on your opponent's hand by 1.	
Slime Lord	5		5	1	1	2	1	Battlecry: Destroy all slimes. Gain +1 Attack and Health for each Slime destroyed.	
The Protector	5		7	5	10	1	1	Provoke. Other friendly creatures can't be targeted by spells.	
The Grand Wizard	5		0	0	0	0	0	Your spells are cast twice.	
Sun Priestess	5		5	3	3	1	1	Blind all enemy creatures.	
